,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected
4,Physical Attack - Vandalism,2014,6/24/2014,14:54:00,6/24/2014,14:55:00,Tennessee Valley Authority,"Nashville, Tennessee",SERC,,
5,Physical Attack - Vandalism,2014,6/19/2014,08:47:00,6/19/2014,08:48:00,Tennessee Valley Authority,"Nashville, Tennessee",SERC,,
6,Physical Attack - Vandalism,2014,6/18/2014,09:52:00,6/18/2014,19:00:00,Public Utility District No.1 of Snohomish County (SNPD),Washington,WECC,,
9,Suspected Physical Attack,2014,6/12/2014,09:10:00,6/12/2014,09:11:00,"Luminant Energy Company, LLC","Somervell County, Texas",ERCOT,,
10,Physical Attack - Vandalism,2014,6/11/2014,16:00:00,6/11/2014,16:30:00,South Mississippi El Pwr Assn,Southern Mississippi,SERC,,
11,Suspected Physical Attack,2014,6/11/2014,09:30:00,6/11/2014,09:31:00,Tucson Electric Power,"Nogales, Arizona",WECC,,
19,Physical Attack - Vandalism,2014,6/3/2014,01:38:00,6/3/2014,01:43:00,Lower Colorado River Authority,Texas,ERCOT,,
20,Physical Attack - Vandalism,2014,5/27/2014,11:00:00,5/27/2014,16:53:00,Arizona Public Service Co,"Phoenix, Arizona",WECC,,
22,Physical Attack - Vandalism,2014,5/23/2014,15:00:00,5/25/2014,19:00:00,Duke Energy Progress,North Carolina,SERC,,
23,Physical Attack - Vandalism,2014,5/20/2014,07:01:00,5/20/2014,07:02:00,PacifiCorp,"Duchesne County, Utah",WECC,,
26,Suspected Physical Attack,2014,5/15/2014,12:10:00,5/15/2014,12:13:00,"Whiting Clean Energy, Inc.","Whiting, Indiana",RFC,,
28,Physical Attack - Vandalism,2014,5/12/2014,13:14:00,5/12/2014,13:15:00,PacifiCorp,"Layton, Utah",WECC,,
29,Physical Attack - Vandalism,2014,5/11/2014,18:38:00,5/11/2014,18:39:00,Great River Energy,"MISO North, Minnesota",MRO,,
31,Physical Attack,2014,5/8/2014,08:39:00,5/8/2014,08:40:00,"CSolar IV South, LLC","Imperial Valley, California",WECC,,
32,Physical Attack,2014,5/8/2014,01:00:00,5/8/2014,01:01:00,Clarksdale Public Utilities,Mississippi,SERC,,
37,Physical Attack - Vandalism,2014,4/27/2014,12:07:00,4/27/2014,12:09:00,PacifiCorp,"Albany, Oregon",WECC,,
38,Physical Attack - Vandalism,2014,4/25/2014,07:00:00,4/25/2014,07:30:00,Delmarva Power & Light Company,Delaware,RFC,,
43,Physical Attack - Vandalism,2014,4/8/2014,13:00:00,4/8/2014,13:01:00,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,,
50,Physical Attack,2014,3/26/2014,16:00:00,4/10/2014,12:00:00,ITC Midwest LLC,Iowa,MRO,,
51,Physical Attack - Vandalism,2014,3/24/2014,11:07:00,3/24/2014,11:08:00,PacifiCorp,"Salt Lake City, Utah",WECC,,
52,Suspected Cyber Attack,2014,3/20/2014,00:00:00,3/20/2014,00:01:00,NRG Energy Inc 2,New York,NPCC,,
53,Physical Attack - Sabatoge,2014,3/17/2014,17:25:00,3/18/2014,00:56:00,Arizona Public Service Co,"Glendale, Arizona",WECC,,
54,Physical Attack - Vandalism,2014,3/14/2014,12:34:00,3/14/2014,16:45:00,ITC Holdings,"Boone County, Iowa",MRO,,
56,Suspected Physical Attack,2014,3/11/2014,00:00:00,3/13/2014,00:00:00,ITC Midwest LLC,"Boone County, Iowa",MRO,,
